dataset,sequences,sites,model,type,logl,AICc,GammaShape
1G8F_A,301,1065,mtVer-No,enzyme,-163163.33745,327526.921396,NA
1G6T_A,301,753,JC69-G,enzyme,-115748.458709,232700.107835,0.45924631326
1NBA_A,301,336,JTT-No,enzyme,-81257.6780269,163720.505731,NA
1PMA_B,301,311,JTT-G,enzyme,-67820.8281078,136849.410221,1.04691704944
1L7N_A,201,265,LG-G,enzyme,-42070.3293666,84946.7271351,0.795685439239
1G72_A,301,1165,mtVer-G,enzyme,-165620.419389,332442.898972,0.994111304252
1MBB_A,301,469,JC69-G,enzyme,-113195.635913,227596.40244,0.450200303901
1DEK_A,35,420,WAG-G,enzyme,-14974.5251253,30085.6916286,0.852167642832
1K30_A,66,562,JC69-G,enzyme,-35311.8135039,70884.5485197,0.723874923594
13PK_A,301,768,gcpREV-G,enzyme,-96547.9179039,194298.963749,0.730631700087
1BQC_A,75,696,LG-No,enzyme,-33898.4222799,68091.6804931,NA
1L1D_A,301,194,gcpREV-No,enzyme,-41304.9238758,83820.2850289,NA
1BQC_A,75,696,JC69-G,enzyme,-35650.813686,71598.4746948,0.576833197037
1AJ8_A,301,544,LG-No,enzyme,-107982.916391,217168.238705,NA
1TLP_E,34,493,LG-G,enzyme,-14452.9897362,29038.5092119,0.952587496492
1CZ1_A,301,858,WAG-No,enzyme,-155978.009898,313156.809541,NA
1A8S_A,301,369,WAG-G,enzyme,-62911.2079938,127028.944575,0.817969581032
1TYF_A,301,253,WAG-No,enzyme,-47483.4254287,96174.3647087,NA
1FPS_A,301,930,LG-G,enzyme,-95680.9811803,192564.544262,0.98915875941
1BJO_A,301,555,gcpREV-G,enzyme,-94468.4352364,190141.203201,0.66803318819
1DPG_A,301,674,LG-G,enzyme,-140927.688296,283058.942071,0.856108548574
1C2T_A,301,284,gcpREV-G,enzyme,-59233.7962192,119676.088839,0.702953131888
1STC_E,301,1078,JC69-No,enzyme,-102260.115008,205720.44937,NA
1NIR_A,157,755,LG-No,enzyme,-76323.7543614,153271.150231,NA
1MHY_D,33,632,gcpREV-G,enzyme,-20316.0420501,40760.4842733,1.08699887504
1GDH_A,301,398,mtVer-No,enzyme,-113137.921103,227479.872508,NA
1A50_B,301,564,LG-G,enzyme,-91642.1894154,184488.642174,0.582189217129
1K30_A,66,562,WAG-G,enzyme,-32465.20697,65191.3354519,0.876338075362
1SMN_A,183,474,JC69-No,enzyme,-71218.0557178,143165.170826,NA
1QFM_A,301,1406,gcpREV-No,enzyme,-225875.630212,452950.9613,NA
3CSM_A,301,813,gcpREV-No,enzyme,-84427.5471509,170056.03884,NA
1STC_E,301,1078,JTT-G,enzyme,-83205.0485738,167612.323919,0.532227577104
2JCW_A,301,301,mtVer-No,enzyme,-42066.4417833,85338.8701446,NA
1G79_A,301,319,WAG-G,enzyme,-57618.6097486,116444.777819,0.749496089934
1GTP_A,301,338,JC69-No,enzyme,-71126.5379902,143458.183101,NA
1A8H_A,154,734,JTT-No,enzyme,-85473.276252,171558.208319,NA
1QRG_A,301,416,mtVer-No,enzyme,-77489.1023537,156181.972827,NA
1IVH_A,301,650,JTT-G,enzyme,-82583.3482175,166370.393967,0.611569578829
1DBT_A,301,314,JTT-G,enzyme,-71707.2073641,144622.094176,0.656114316389
1TLP_E,34,493,JC69-No,enzyme,-16154.8585014,32440.2308983,NA
1MQW_A,301,313,WAG-G,enzyme,-63501.4427717,128210.589684,0.926156912276
1GCB_A,301,783,gcpREV-No,enzyme,-161484.785925,324170.629493,NA
1TYF_A,301,253,LG-G,enzyme,-42927.1596903,87063.865124,0.550687844245
1C2T_A,301,284,mtVer-G,enzyme,-62923.5164988,127055.529398,0.472245724007
1W0H_A,86,427,gcpREV-G,enzyme,-28121.4922277,56584.5751096,0.954278046057
1G8F_A,301,1065,LG-No,enzyme,-149724.376491,300648.999477,NA
3ECA_A,301,471,JTT-No,enzyme,-110997.775122,223198.641942,NA
1B8F_A,301,648,mtVer-No,enzyme,-155606.505466,312414.707551,NA
1C0K_A,301,1096,WAG-No,enzyme,-144129.458106,289459.09905,NA
1TYF_A,301,253,JC69-No,enzyme,-55102.6768339,111412.867519,NA
1SMN_A,183,474,JTT-G,enzyme,-62367.3216269,125465.719536,1.03653060148
1MBB_A,301,469,LG-No,enzyme,-111776.697316,224756.508134,NA
1MQW_A,301,313,LG-G,enzyme,-64223.4016175,129654.507376,0.778157695034
1NBA_A,301,336,JTT-G,enzyme,-76422.9486433,154053.070908,0.850427655264
1QI9_A,97,1462,JTT-No,enzyme,-77881.634202,156145.78629,NA
1S95_A,77,698,gcpREV-No,enzyme,-25686.4569885,51675.7704907,NA
1YON_A,301,523,JTT-G,enzyme,-104081.958127,209368.515099,0.875060198529
2JCW_A,301,301,gcpREV-No,enzyme,-39585.795951,80377.5784798,NA
1E3V_A,216,220,JC69-No,enzyme,-37662.640704,76191.1161924,NA
1UQT_A,301,756,WAG-G,enzyme,-139609.998192,280423.174106,0.7991924324
1CTN_A,148,1485,mtVer-G,enzyme,-102446.399218,205481.588741,0.999519155167
1YVE_I,145,1452,LG-No,enzyme,-68815.2117015,138205.209659,NA
1AJ8_A,301,544,JC69-No,enzyme,-121050.677359,243303.760642,NA
1L1D_A,301,194,LG-No,enzyme,-40511.3529949,82233.1432669,NA
1TRK_B,301,1055,gcpREV-G,enzyme,-171799.778398,344801.832205,0.753132236116
1OH9_A,301,409,JTT-No,enzyme,-94231.7964563,189667.460237,NA
1REQ_A,301,992,WAG-No,enzyme,-158066.38004,317333.172225,NA
1B73_A,301,423,gcpREV-No,enzyme,-99395.079212,199993.830638,NA
1LJL_A,301,182,WAG-G,enzyme,-34538.2568137,70289.8245667,0.727269195089
1G79_A,301,319,gcpREV-No,enzyme,-63995.0816712,129195.696433,NA
1GA8_A,131,500,JC69-G,enzyme,-70677.9382347,141877.95682,1.35140271771
1CF2_O,301,475,JTT-No,enzyme,-100039.276663,201281.601965,NA
1WGI_A,301,760,LG-No,enzyme,-80611.99788,162425.146181,NA
7ATJ_A,301,477,gcpREV-G,enzyme,-91477.6951756,184160.434554,0.758437000107
1DEK_A,35,420,mtVer-G,enzyme,-15756.014451,31648.6702798,0.775050619471
1YVE_I,145,1452,mtVer-No,enzyme,-74440.0994266,149454.98511,NA
1SMN_A,183,474,gcpREV-No,enzyme,-66079.2830147,132887.625419,NA
1G79_A,301,319,mtVer-No,enzyme,-68725.2206312,138655.974353,NA
1GTP_A,301,338,JTT-No,enzyme,-62356.1285804,125917.364282,NA
1B8F_A,301,648,JTT-No,enzyme,-142261.0459,285723.788418,NA
1NBA_A,301,336,mtVer-No,enzyme,-90792.2418234,182789.633325,NA
1CTT_A,301,662,LG-No,enzyme,-102345.642997,205892.904199,NA
1GCB_A,301,783,mtVer-No,enzyme,-173712.758881,348626.575406,NA
1YVE_I,145,1452,LG-G,enzyme,-63796.0918319,128168.975403,0.63636199363
1J79_A,301,481,WAG-G,enzyme,-84448.5353514,170102.072783,0.706458919215
1DEK_A,35,420,JC69-No,enzyme,-16511.1475946,33156.9179338,NA
1G8F_A,301,1065,LG-G,enzyme,-141496.698766,284195.651535,1.12679177532
1NU3_A,164,222,gcpREV-No,enzyme,-30485.4985348,61626.869804,NA
1B8F_A,301,648,WAG-G,enzyme,-126830.627569,254864.964118,0.629605220948
1J79_A,301,481,gcpREV-G,enzyme,-86133.1307054,173471.263491,0.659370159112
206L_A,143,415,gcpREV-No,enzyme,-32772.3697544,66113.4611695,NA
1NU3_A,164,222,LG-No,enzyme,-29956.1424502,60568.1576346,NA
1QJE_A,122,533,LG-No,enzyme,-47944.0148954,96371.8302972,NA
1QRG_A,301,416,LG-G,enzyme,-67831.9930448,136869.773515,1.07471105175
1A16_A,301,603,JC69-G,enzyme,-142634.115814,286472.218317,0.507630912555
1L1D_A,301,194,JTT-No,enzyme,-40909.9292674,83030.2958121,NA
1H3I_A,39,647,gcpREV-No,enzyme,-19490.4212792,39131.2957127,NA
1REQ_A,301,992,LG-No,enzyme,-161034.519003,323269.450151,NA
1TLP_E,34,493,WAG-G,enzyme,-14292.5751846,28717.6801087,1.01040746416
1NU3_A,164,222,LG-G,enzyme,-29039.5819685,58737.0729751,1.39052182843
1AF7_A,301,416,gcpREV-G,enzyme,-93783.7288823,188773.24519,0.669621791848
1G8F_A,301,1065,JTT-No,enzyme,-149839.129617,300878.50573,NA
1EG7_A,301,740,WAG-No,enzyme,-140341.92555,281885.086897,NA
1BQC_A,75,696,mtVer-No,enzyme,-36641.6281538,73578.0922409,NA
1C2T_A,301,284,WAG-No,enzyme,-63828.0735248,128862.615076,NA
1TLP_E,34,493,JTT-No,enzyme,-15072.4498146,30275.4135247,NA
1NBA_A,301,336,gcpREV-No,enzyme,-82921.3170425,167047.783763,NA
1E3V_A,216,220,mtVer-G,enzyme,-34862.9759095,70593.8232964,0.908758831693
1G6T_A,301,753,WAG-G,enzyme,-104891.457976,210986.106368,0.660613366076
1GA8_A,131,500,JTT-G,enzyme,-66058.9898259,132640.060002,1.18325906477
1AJ8_A,301,544,mtVer-G,enzyme,-106286.407546,213777.235754,0.544852474749
1CTN_A,148,1485,JC69-No,enzyme,-110665.129487,221917.043917,NA
1DEK_A,35,420,JTT-No,enzyme,-15996.3074635,32127.2376717,NA
1A16_A,301,603,LG-No,enzyme,-136295.474234,273792.921867,NA
1TYF_A,301,253,mtVer-G,enzyme,-43843.2280309,88896.0018051,0.476055239945
1W0H_A,86,427,JTT-No,enzyme,-29731.8632455,59803.298498,NA
1HR6_B,301,890,mtVer-No,enzyme,-135682.762428,272566.214069,NA
1DPG_A,301,674,mtVer-No,enzyme,-164588.164409,330377.882413,NA
1C2T_A,301,284,JC69-No,enzyme,-73369.2927811,147945.053589,NA
1E3V_A,216,220,WAG-G,enzyme,-31890.1887445,64648.2489665,1.53362556191
1S3I_A,266,571,LG-G,enzyme,-95424.9247166,191913.56824,0.996083847931
1OH9_A,301,409,LG-No,enzyme,-93711.7622517,188627.391827,NA
2JCW_A,301,301,LG-No,enzyme,-39487.6707152,80181.3280083,NA
1MHY_D,33,632,LG-No,enzyme,-20697.5275013,41521.4428441,NA
1EXP_A,158,502,WAG-No,enzyme,-62305.7855331,125240.059155,NA
1UQT_A,301,756,gcpREV-No,enzyme,-153521.73954,308244.646214,NA
1C82_A,79,1360,WAG-G,enzyme,-60772.9456385,121858.347864,1.39494901
1YCF_A,301,608,JC69-G,enzyme,-146626.733918,294457.421631,0.605215818442
1A8H_A,154,734,JTT-G,enzyme,-79556.6504791,159726.967646,0.793633438693
1SML_A,301,472,gcpREV-G,enzyme,-111051.211506,223307.520876,1.13642531074
1GCB_A,301,783,LG-No,enzyme,-159043.206561,319287.470765,NA
1B73_A,301,423,LG-No,enzyme,-99981.9108537,201167.493922,NA
1MQW_A,301,313,JTT-No,enzyme,-68162.366533,137530.411487,NA
1TLP_E,34,493,mtVer-G,enzyme,-15081.6177359,30295.7652113,0.710891421347
1TYF_A,301,253,JTT-G,enzyme,-42368.7165471,85946.9788376,0.437114719465
1SMN_A,183,474,mtVer-G,enzyme,-65855.8956515,132442.867585,0.66153523791
1ZE1_A,301,532,gcpREV-No,enzyme,-130799.679739,262801.865156,NA
1EXP_A,158,502,JTT-G,enzyme,-59817.0564029,120264.616825,1.05369428752
1MHY_D,33,632,WAG-No,enzyme,-20561.2324295,41248.8527004,NA
1GA8_A,131,500,mtVer-No,enzyme,-73046.9236681,146613.911714,NA
1GTP_A,301,338,mtVer-G,enzyme,-59437.7086642,120082.54825,0.602614232449
1WGI_A,301,760,JTT-No,enzyme,-79444.2642791,160089.678979,NA
1EUU_A,203,2253,WAG-G,enzyme,-154695.32198,310199.360092,1.25141969529
1QI9_A,97,1462,gcpREV-No,enzyme,-78688.2918358,157759.101557,NA
1QAZ_A,43,499,JC69-G,enzyme,-24620.0891255,49408.846415,0.97086899759
2DOR_A,301,484,WAG-No,enzyme,-104836.53008,210876.014531,NA
1QJE_A,122,533,JC69-G,enzyme,-50425.9085357,101337.632548,0.619670986156
1STC_E,301,1078,mtVer-G,enzyme,-88093.6091338,177389.445039,0.556230619988
13PK_A,301,768,gcpREV-No,enzyme,-104721.324889,210643.767297,NA
1G72_A,301,1165,WAG-G,enzyme,-154900.132099,311002.324392,0.92773439084
1AF7_A,301,416,JC69-G,enzyme,-103521.529893,208248.847211,0.487657314747
1B93_A,301,210,gcpREV-G,enzyme,-41728.988439,84669.4959888,0.53921702468
1JOF_A,88,714,JC69-G,enzyme,-33451.9954443,67252.9628471,0.514212275654
1EUU_A,203,2253,JC69-G,enzyme,-169542.522619,339893.761372,1.1601449057
1OH9_A,301,409,LG-G,enzyme,-88048.2073071,177302.301577,0.863270232285
1PMA_B,301,311,JTT-No,enzyme,-71624.6413202,144455.010759,NA
1OPM_A,128,810,JTT-No,enzyme,-56507.616472,113522.47561,NA
1MQW_A,301,313,gcpREV-No,enzyme,-69880.0557793,140965.789979,NA
1G72_A,301,1165,JC69-No,enzyme,-184751.671651,370703.396636,NA
1FR8_A,121,821,JC69-G,enzyme,-37447.2880417,75375.7433892,0.416362559861
1LJL_A,301,182,LG-G,enzyme,-35000.3251864,71213.961312,0.700396553983
1YON_A,301,523,mtVer-G,enzyme,-109437.541203,220079.681251,0.700988631597
1QRG_A,301,416,WAG-No,enzyme,-69193.455011,139590.678142,NA
1A16_A,301,603,gcpREV-G,enzyme,-128206.864418,257617.715524,0.774879140404
1G6T_A,301,753,JC69-No,enzyme,-130936.310517,263073.80082,NA
1G72_A,301,1165,LG-No,enzyme,-164932.002618,331064.058569,NA
1DBT_A,301,314,gcpREV-G,enzyme,-71659.9453518,144527.570152,0.61331646758
1NIR_A,157,755,JTT-No,enzyme,-76442.0080846,153507.657677,NA
1GCB_A,301,783,WAG-G,enzyme,-148386.107777,297975.28342,0.920126326988
1BJO_A,301,555,JTT-G,enzyme,-94228.4387612,189661.210251,0.705627708621
1GP1_A,301,411,JTT-No,enzyme,-54326.5379546,109856.914543,NA
1B73_A,301,423,WAG-G,enzyme,-91294.02302,183793.737238,0.792772201595
1C82_A,79,1360,LG-No,enzyme,-63130.2456754,126570.942117,NA
1DPG_A,301,674,WAG-No,enzyme,-149512.58992,300226.733435,NA
1MHY_D,33,632,WAG-G,enzyme,-20077.5075723,40283.4153178,1.30889409715
1EUU_A,203,2253,LG-No,enzyme,-162709.741728,326226.196051,NA
1K30_A,66,562,gcpREV-No,enzyme,-34097.7206313,68454.348681,NA
1UAQ_A,301,327,JTT-G,enzyme,-40949.5958787,83106.5640306,0.643649698076
1B93_A,301,210,gcpREV-No,enzyme,-46413.1570764,94035.794747,NA
1JOF_A,88,714,gcpREV-No,enzyme,-31898.3554619,64143.6717588,NA
1BQC_A,75,696,mtVer-G,enzyme,-34268.5417385,68833.9307998,0.750075394068
1WGI_A,301,760,JC69-No,enzyme,-89464.385602,180129.921625,NA
1IVH_A,301,650,gcpREV-G,enzyme,-82585.4445114,166374.586555,0.584161955248
1GCB_A,301,783,JC69-No,enzyme,-177818.522775,356838.103193,NA
1CZ1_A,301,858,mtVer-G,enzyme,-156823.809282,314850.417634,0.910550536955
1POW_A,301,840,WAG-No,enzyme,-191824.537585,384849.924837,NA
1FF3_A,301,306,mtVer-G,enzyme,-59847.0977359,120902.077008,0.598867540978
1C82_A,79,1360,JC69-G,enzyme,-67818.085428,135948.627443,0.733913106347
1CBG_A,301,1260,JC69-No,enzyme,-173445.603228,348091.104729,NA
1GPJ_A,301,659,JC69-No,enzyme,-182956.828528,367115.291783,NA
1HR6_B,301,890,JTT-No,enzyme,-126321.413733,253843.51668,NA
1CTT_A,301,662,JC69-G,enzyme,-104686.056739,210575.743782,0.595402432244
1G6T_A,301,753,LG-No,enzyme,-118828.513119,238858.206023,NA
1CF2_O,301,475,JTT-G,enzyme,-93571.569816,188348.205164,0.785067281385
1BZC_A,83,698,JTT-No,enzyme,-26947.6151518,54222.1557666,NA
1CTN_A,148,1485,JTT-G,enzyme,-97053.4306249,194695.651554,1.15011935402
1GTP_A,301,338,gcpREV-G,enzyme,-56579.466949,114366.064819,0.712246143548
1S95_A,77,698,JTT-G,enzyme,-24080.3359241,48465.5397227,0.6493591283
1SMN_A,183,474,JTT-No,enzyme,-65653.3432976,132035.745985,NA
1MQW_A,301,313,mtVer-No,enzyme,-75996.0328618,153197.744144,NA
1OH9_A,301,409,WAG-G,enzyme,-86925.7781165,175057.443195,0.910746737509
2JCW_A,301,301,WAG-G,enzyme,-35317.9729209,71843.9591752,0.694507395837
1BJO_A,301,555,mtVer-G,enzyme,-100158.427613,201521.187954,0.514329084683
1E3V_A,216,220,LG-No,enzyme,-33466.2000211,67798.2348266,NA
1AJ8_A,301,544,JC69-G,enzyme,-112192.761099,225589.94286,0.526972493148
1NIR_A,157,755,LG-G,enzyme,-70889.213963,142404.080004,0.664248375867
1FF3_A,301,306,JC69-G,enzyme,-61286.6678091,123781.217155,0.440028908145
1REQ_A,301,992,gcpREV-G,enzyme,-139426.452151,280055.32451,0.505825264631
1A16_A,301,603,WAG-G,enzyme,-126446.346158,254096.679005,0.850508499282
1PMA_B,301,311,mtVer-No,enzyme,-76749.7561122,154705.240343,NA
1STC_E,301,1078,JC69-G,enzyme,-92252.9353035,185708.097378,0.41007912289
1J79_A,301,481,LG-No,enzyme,-93593.457748,188389.900896,NA
13PK_A,301,768,LG-G,enzyme,-96450.5793779,194104.286697,0.76656654182
1PMA_B,301,311,LG-G,enzyme,-68145.0812835,137497.916572,1.05184737048
1QAZ_A,43,499,JC69-No,enzyme,-25242.2778424,50651.2080968,NA
1CTT_A,301,662,WAG-G,enzyme,-95035.1046222,191273.839549,0.931618207262
1DBT_A,301,314,JTT-No,enzyme,-79838.7806203,160883.215052,NA
7ATJ_A,301,477,JC69-G,enzyme,-102219.531355,205644.106912,0.465873699512
1SML_A,301,472,JC69-G,enzyme,-120659.766083,242524.63003,0.674733242237
1GPJ_A,301,659,JTT-G,enzyme,-152137.699181,305479.045243,0.855429847588
1LJL_A,301,182,JC69-No,enzyme,-42913.4912455,87038.2488895,NA
1B73_A,301,423,WAG-No,enzyme,-98428.273719,198060.219652,NA
1JOF_A,88,714,mtVer-No,enzyme,-34386.6065186,69120.1738722,NA
1REQ_A,301,992,LG-G,enzyme,-138749.275928,278700.972064,0.483754292981
1E7Q_A,301,505,JTT-No,enzyme,-89661.5211853,180525.789902,NA
1E7Q_A,301,505,gcpREV-G,enzyme,-79930.4459784,161065.655371,0.614808600704
1OPM_A,128,810,JTT-G,enzyme,-53327.446328,107164.145158,0.874206744608
1BJO_A,301,555,LG-G,enzyme,-94385.1773631,189974.687455,0.742288253141
1L7N_A,201,265,JTT-G,enzyme,-41919.7595708,84645.5875435,0.790753450701
1REQ_A,301,992,WAG-G,enzyme,-136835.782365,274873.984936,0.502240832069
1TLP_E,34,493,LG-No,enzyme,-15064.651018,30259.8159315,NA
1G79_A,301,319,JC69-G,enzyme,-64738.2932587,130684.14484,0.521296396352
1NU3_A,164,222,WAG-G,enzyme,-28681.3865983,58020.6822346,1.30446652072
1E2A_A,301,155,JC69-G,enzyme,-41019.4851158,83254.6301092,0.546179710138
1QJE_A,122,533,WAG-G,enzyme,-45644.4722596,91774.7599954,1.01878105826
1UQT_A,301,756,JC69-G,enzyme,-156270.760708,313744.699138,0.492214339998
1E2A_A,301,155,JC69-No,enzyme,-43629.9695424,88473.5465106,NA
1B8F_A,301,648,LG-No,enzyme,-142121.477785,285444.652188,NA
1EUU_A,203,2253,LG-G,enzyme,-156503.435225,313815.586583,1.1551535713
7ATJ_A,301,477,JC69-No,enzyme,-111291.681065,223786.389513,NA
1BF2_A,301,1450,JC69-G,enzyme,-218903.454345,439008.563391,0.502206957365
1EG7_A,301,740,gcpREV-G,enzyme,-127827.572651,256858.391917,0.618525411614
1B73_A,301,423,mtVer-No,enzyme,-110150.698247,221505.068709,NA
1MHY_D,33,632,JC69-No,enzyme,-22322.2226549,44770.8331513,NA
1STC_E,301,1078,mtVer-No,enzyme,-99445.639632,200091.498618,NA
1OAC_A,301,1304,JC69-G,enzyme,-235563.3048,472328.449851,0.639833504216
1E7Q_A,301,505,LG-No,enzyme,-89049.8721518,179302.491835,NA
1DPG_A,301,674,WAG-G,enzyme,-139502.852859,280209.271197,0.947185456822
1E6E_A,301,1077,gcpREV-No,enzyme,-150332.78257,301865.786559,NA
1NIR_A,157,755,mtVer-No,enzyme,-82148.9154466,164921.472401,NA
1AF7_A,301,416,mtVer-G,enzyme,-99667.338161,200540.463747,0.568489773243
2DOR_A,301,484,JTT-No,enzyme,-107046.75578,215296.465931,NA
206L_A,143,415,gcpREV-G,enzyme,-31155.9686639,62882.6782692,0.945505280323
1EUU_A,203,2253,JC69-No,enzyme,-174909.985641,350626.683878,NA
1QJE_A,122,533,JC69-No,enzyme,-52517.406842,105518.61419,NA
1AF7_A,301,416,gcpREV-No,enzyme,-103330.19107,207864.150259,NA
1E6E_A,301,1077,LG-No,enzyme,-150287.295568,301774.812555,NA
1GP1_A,301,411,JTT-G,enzyme,-51347.0483055,103899.954787,1.02751075919
1TAH_B,301,627,JC69-No,enzyme,-113747.379767,228696.580357,NA
1WGI_A,301,760,WAG-No,enzyme,-78940.98751,159083.125441,NA
3ECA_A,301,471,JTT-G,enzyme,-103487.438357,208179.985448,0.815392152265
1E2A_A,301,155,LG-G,enzyme,-36403.5976357,74022.8551489,0.891712106349
7ATJ_A,301,477,JTT-G,enzyme,-91348.7502557,183902.544715,0.881366062367
1IVH_A,301,650,LG-G,enzyme,-83011.8681998,167227.433932,0.629064810472
1G8F_A,301,1065,JC69-No,enzyme,-169021.513232,339243.27296,NA
1POW_A,301,840,gcpREV-G,enzyme,-185602.27974,372407.418673,1.00339887205
1MHY_D,33,632,JTT-No,enzyme,-20810.7704795,41747.9288004,NA
1A4L_A,301,888,gcpREV-G,enzyme,-112899.635067,227001.974428,0.742009172937
3ECA_A,301,471,gcpREV-G,enzyme,-103800.859372,208806.827477,0.835947894851
1MQW_A,301,313,WAG-No,enzyme,-67356.0559872,135917.790395,NA
1FPS_A,301,930,JC69-No,enzyme,-114473.756863,230148.087027,NA
1YCF_A,301,608,LG-G,enzyme,-132132.038247,265468.03029,1.19044767312
1C2T_A,301,284,WAG-G,enzyme,-58248.5469252,117705.590251,0.632620824983
1EXP_A,158,502,JTT-No,enzyme,-62937.5627242,126503.613537,NA
1C82_A,79,1360,mtVer-No,enzyme,-67094.1723279,134498.795422,NA
1HV9_A,301,574,JTT-G,enzyme,-114514.141846,230232.472502,0.613314929764
1JOF_A,88,714,LG-No,enzyme,-31543.354781,63433.670397,NA
1E3V_A,216,220,LG-G,enzyme,-32215.1276544,65298.1267862,1.44538047545
1W0H_A,86,427,LG-No,enzyme,-29595.3191263,59530.2102596,NA
1DJ0_A,301,439,gcpREV-G,enzyme,-76987.8378906,155181.158607,0.692938070936
1POW_A,301,840,LG-No,enzyme,-194457.994002,390116.837671,NA
1QI9_A,97,1462,mtVer-No,enzyme,-84398.2334272,169178.98474,NA
1W0H_A,86,427,WAG-No,enzyme,-29371.9086108,59083.3892286,NA
1C0K_A,301,1096,gcpREV-G,enzyme,-140095.620698,281393.43153,1.11386457142
1ZE1_A,301,532,JC69-No,enzyme,-140131.870978,281466.247636,NA
1DEK_A,35,420,WAG-No,enzyme,-15723.2898595,31581.2024636,NA
1OS7_A,301,481,JTT-G,enzyme,-92248.7541735,185702.510428,0.864411357037
3PVA_A,301,565,JC69-G,enzyme,-140194.978308,281594.212387,0.818622494382
3CSM_A,301,813,JC69-No,enzyme,-93699.8691273,188600.682793,NA
1G72_A,301,1165,gcpREV-G,enzyme,-157797.919798,316797.899791,0.805987640695
1TAH_B,301,627,JTT-G,enzyme,-96882.0706619,194967.974925,0.932225568851
1C2T_A,301,284,JTT-No,enzyme,-64847.5861545,130901.640336,NA
1TLP_E,34,493,WAG-No,enzyme,-14871.3395869,29873.1930693,NA
1L1D_A,301,194,WAG-No,enzyme,-39946.7034095,81103.8440962,NA
1H3I_A,39,647,JTT-G,enzyme,-19346.363924,38845.1931049,2.12137352004
1YVE_I,145,1452,JC69-G,enzyme,-69794.0379561,140164.867652,0.365112138151
1EG7_A,301,740,JTT-No,enzyme,-143270.236469,287741.708736,NA
1G8F_A,301,1065,WAG-No,enzyme,-147380.92806,295962.102617,NA
1UAQ_A,301,327,JC69-No,enzyme,-49678.6354668,100562.618598,NA
1HR6_B,301,890,LG-No,enzyme,-126973.999516,255148.688246,NA
1C0K_A,301,1096,WAG-G,enzyme,-138477.942332,278158.074798,1.20503803085
1CTN_A,148,1485,JC69-G,enzyme,-106602.387725,213793.565754,0.775518660071
1QRG_A,301,416,mtVer-G,enzyme,-71623.9314126,144453.650251,0.637562225442
1QAZ_A,43,499,mtVer-No,enzyme,-25384.4229208,50935.4982536,NA
3CSM_A,301,813,JC69-G,enzyme,-87483.264026,176169.482434,0.474629527073
1TRK_B,301,1055,gcpREV-No,enzyme,-185122.029923,371444.327676,NA
1QFM_A,301,1406,WAG-G,enzyme,-210187.587007,421576.880572,0.885006533861
1E2A_A,301,155,LG-No,enzyme,-39099.0123198,79411.6320656,NA
1CTT_A,301,662,LG-G,enzyme,-96012.8201658,193229.270637,0.8759769674
1HR6_B,301,890,LG-G,enzyme,-119687.679039,240578.05628,0.889721681282
1S3I_A,266,571,LG-No,enzyme,-101329.202933,203720.110642,NA
1QJE_A,122,533,gcpREV-No,enzyme,-48911.0633378,98305.9271818,NA
1OAC_A,301,1304,JTT-G,enzyme,-211783.820877,424769.482006,1.17294725851
1GTP_A,301,338,LG-No,enzyme,-62428.0782831,126061.263687,NA
1FR8_A,121,821,WAG-G,enzyme,-34901.5911726,70284.349651,0.749706518711
1CZ1_A,301,858,WAG-G,enzyme,-148052.827061,297308.453192,0.988190477951
1HR6_B,301,890,WAG-G,enzyme,-118371.158709,237945.015621,0.974850580409
1DJ0_A,301,439,JC69-G,enzyme,-83807.1900678,168819.862962,0.489578261723
1YCF_A,301,608,gcpREV-No,enzyme,-138142.484994,277486.910604,NA
1K30_A,66,562,gcpREV-G,enzyme,-32484.1279862,65229.1774842,0.864553090049
1C0K_A,301,1096,LG-No,enzyme,-146572.723322,294345.629483,NA
1E7Q_A,301,505,WAG-No,enzyme,-88075.0813313,177352.910194,NA
1B73_A,301,423,JTT-No,enzyme,-100066.251112,201336.174438,NA
1OPM_A,128,810,JC69-No,enzyme,-60724.0965358,121955.435738,NA
1S3I_A,266,571,WAG-G,enzyme,-94481.6609527,190027.040712,1.02906097496
1DBT_A,301,314,WAG-No,enzyme,-78054.2445708,157314.142953,NA
1GTP_A,301,338,WAG-G,enzyme,-56462.074535,114131.279992,0.735716517535
13PK_A,301,768,JC69-No,enzyme,-120388.712274,241978.542067,NA
1FR8_A,121,821,LG-No,enzyme,-37861.3263315,76201.8102699,NA
1CZ1_A,301,858,LG-No,enzyme,-157774.963463,316750.716671,NA
1FF3_A,301,306,gcpREV-No,enzyme,-62586.6058439,126379.06691,NA
1E2A_A,301,155,WAG-G,enzyme,-36386.4149686,73988.4898147,1.00100015344
1OPM_A,128,810,mtVer-No,enzyme,-60683.8737929,121874.990252,NA
1OS7_A,301,481,mtVer-G,enzyme,-99083.8342724,199372.670626,0.728071925382
1FF3_A,301,306,gcpREV-G,enzyme,-56360.7413486,113929.364234,0.54994257685
1SML_A,301,472,JTT-G,enzyme,-109457.699054,220120.495973,1.18908055115
1EXP_A,158,502,JC69-No,enzyme,-69829.0042417,140286.496572,NA
1QFM_A,301,1406,LG-No,enzyme,-226080.709735,453361.120346,NA
1YVE_I,145,1452,gcpREV-No,enzyme,-69200.5358747,138975.858006,NA
1ZE1_A,301,532,LG-G,enzyme,-120048.878508,241302.277767,0.734408806642
